2024-05-30 09:06:26.462 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 09:06:26.513 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 22708 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-30 09:06:26.515 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-30 09:06:28.695 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-30 09:06:28.697 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-30 09:06:28.753 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 0 Redis repository interfaces.
2024-05-30 09:06:29.661 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-30 09:06:29.669 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-30 09:06:29.670 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-30 09:06:29.670 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-30 09:06:29.733 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-30 09:06:29.734 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3181 ms
2024-05-30 09:06:29.915 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-30 09:06:30.136 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-30 09:06:30.174 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-30 09:06:30.392 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-30 09:06:30.739 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@7e484bd
2024-05-30 09:06:30.740 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-30 09:06:30.741 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-05-30 09:06:30.741 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-05-30 09:06:32.842 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-05-30 09:06:32.925 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2080ee70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1bce19db, org.springframework.security.web.context.SecurityContextHolderFilter@4821e1a3, org.springframework.security.web.header.HeaderWriterFilter@b45e264, org.springframework.web.filter.CorsFilter@1c879f07, org.springframework.security.web.authentication.logout.LogoutFilter@2b8106f, net.maku.framework.security.filter.AuthenticationTokenFilter@52667676, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4870d2e1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@361065d1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4c1f4817, org.springframework.security.web.session.SessionManagementFilter@270a113f, org.springframework.security.web.access.ExceptionTranslationFilter@616b2b2, org.springframework.security.web.access.intercept.AuthorizationFilter@435a13ac]
2024-05-30 09:06:33.094 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-05-30 09:06:33.640 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-30 09:06:33.649 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-30 09:06:33.650 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-30 09:06:33.651 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-30 09:06:33.651 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-05-30 09:06:33.678 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-05-30 11:31:08.888 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 11:31:08.917 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 11528 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-30 11:31:08.918 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-30 11:31:09.794 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-30 11:31:09.796 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-30 11:31:09.828 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
2024-05-30 11:31:10.537 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-30 11:31:10.544 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-30 11:31:10.545 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-30 11:31:10.545 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-30 11:31:10.606 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-30 11:31:10.606 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1663 ms
2024-05-30 11:31:10.762 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-30 11:31:10.946 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:10.983 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:11.165 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-30 11:31:11.470 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@1e4bf55b
2024-05-30 11:31:11.471 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-30 11:31:11.472 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-05-30 11:31:11.472 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-05-30 11:31:13.335 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-05-30 11:31:13.401 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@295e9aef, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3f1b4a14, org.springframework.security.web.context.SecurityContextHolderFilter@6b71fded, org.springframework.security.web.header.HeaderWriterFilter@2048255a, org.springframework.web.filter.CorsFilter@7d5cbcc9, org.springframework.security.web.authentication.logout.LogoutFilter@4ae836cf, net.maku.framework.security.filter.AuthenticationTokenFilter@4587f0f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5784f6b9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f9b37b5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@452e0a94, org.springframework.security.web.session.SessionManagementFilter@2408ca4c, org.springframework.security.web.access.ExceptionTranslationFilter@3e94a6f6, org.springframework.security.web.access.intercept.AuthorizationFilter@2c914aa3]
2024-05-30 11:31:13.549 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-05-30 11:31:14.026 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-30 11:31:14.035 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-30 11:31:14.035 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-30 11:31:14.036 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-30 11:31:14.036 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-05-30 11:31:14.059 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-05-30 11:31:19.803 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 11:31:19.835 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 1012 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-30 11:31:19.836 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-30 11:31:20.741 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-30 11:31:20.743 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-30 11:31:20.778 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2024-05-30 11:31:21.490 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-30 11:31:21.497 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-30 11:31:21.498 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-30 11:31:21.498 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-30 11:31:21.555 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-30 11:31:21.556 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1694 ms
2024-05-30 11:31:21.714 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-30 11:31:21.900 [redisson-netty-2-6] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:21.935 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:22.121 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-30 11:31:22.470 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@7be85f15
2024-05-30 11:31:22.471 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-30 11:31:22.472 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
