2024-06-03 09:16:21.841 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-03 09:16:21.876 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 24984 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-06-03 09:16:21.877 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-06-03 09:16:26.550 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-03 09:16:26.553 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-03 09:16:26.644 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 0 Redis repository interfaces.
2024-06-03 09:16:27.593 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-03 09:16:27.601 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-03 09:16:27.602 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-03 09:16:27.602 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-06-03 09:16:27.666 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-03 09:16:27.666 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5762 ms
2024-06-03 09:16:27.861 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-06-03 09:16:28.070 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:16:28.108 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:16:28.348 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-06-03 09:16:39.529 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-06-03 09:16:39.547 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-06-03 09:17:38.686 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-03 09:17:38.712 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 2588 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-06-03 09:17:38.712 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-06-03 09:17:39.881 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-03 09:17:39.883 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-03 09:17:39.971 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 0 Redis repository interfaces.
2024-06-03 09:17:40.817 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-03 09:17:40.825 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-03 09:17:40.826 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-03 09:17:40.826 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-06-03 09:17:40.889 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-03 09:17:40.889 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2152 ms
2024-06-03 09:17:41.075 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-06-03 09:17:41.266 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:17:41.304 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:17:41.536 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
